,image,bg_type,pred_cls,pred_lbl,f_S,f_0,delta_f,f_G,f_B,f_T,f_N,method,aucI_pred,aucD_pred,aucI_r,aucD_r,aucI_adj,aucD_adj,aucI_adj_r,aucD_adj_r,aucI_clip,aucI_clipr,aucD_clip,aucD_clipr,threshold,best_point,max_IoU,au_IoU,time_load,time_exp,time_aucI,time_aucD,time_auc_IoU,time_total
0,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.903952658176422,18,BPT-100,5.9900831911541825,3.006762961017762,0.7578592021030147,0.38041257836067993,5.9900831911541825,3.025989953524134,0.7578592021030147,0.38284515571449085,5.9900831911541825,0.7578592021030147,2.992690901353371,0.3786321932194945,0.0003965802394257065,0.06664540816326531,0.3103919781221513,0.1718447098852792,0.303896427154541,1.7172999382019043,0.2667670249938965,0.29361724853515625,0.07650971412658691,2.658090353012085
1,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.903952658176423,55,BPT-500,6.349757909000263,2.9708816519732313,0.8033648793418102,0.37587290819283237,6.28265656513276,2.9732595906089236,0.7948752813847803,0.376173762109755,6.316207243562011,0.7991200798798153,2.6844526751356548,0.33963420601176786,0.0008561218208054404,0.03204719387755102,0.2645007342143906,0.1596760483560537,0.303896427154541,5.672677516937256,0.7145040035247803,0.6931850910186768,0.06126904487609863,7.4455320835113525
2,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.903952658176423,88,BPT-1000,6.750403380478797,2.4461050244367195,0.8540541464774701,0.309478708132757,6.639791538198809,2.4430869156506616,0.8400596363285239,0.30909686028874667,6.695097469222227,0.8470568876771128,2.04641460852011,0.25891028531579496,0.00037314148296794435,0.09520487882653061,0.26388539834129177,0.16123545992465527,0.303896427154541,11.429035663604736,0.8778426647186279,0.8835992813110352,0.06833505630493164,13.562709093093872
3,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.90395087003708,37,Partition-100,6.129316025489599,3.335521531576404,0.775474800253097,0.42200677487904165,6.128229611629278,3.2577462938747237,0.7753373517901924,0.4121667254355033,6.128772818559439,0.7754060760216447,3.0884164879668727,0.3907432932159145,0.0002010361805656423,0.18746014030612246,0.21460469732054252,0.13683600201338464,0.303896427154541,1.8536429405212402,0.4571683406829834,0.4640483856201172,0.06188321113586426,3.140639305114746
4,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.903950870037078,124,Partition-500,6.450491452247512,3.6300740663998057,0.8161095792879955,0.45927325963418053,6.4197288296394515,3.4940808934482694,0.8122175209468042,0.44206754042474755,6.434215128231718,0.8140503125211563,3.283588063817624,0.4154362034286619,0.00019922800070551924,0.1717155612244898,0.2700603180405776,0.1392947563657589,0.303896427154541,6.85422158241272,1.0582420825958252,1.0353593826293945,0.06811857223510742,9.319838047027588
5,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.90395087003708,234,Partition-1000,6.697765370267822,3.013202528003603,0.8473944276595513,0.38122730221428874,6.655857689087089,2.782228675594896,0.8420923069274328,0.35200472322321735,6.676721085846538,0.8447319243787421,2.619388196522332,0.33140231415350446,0.00020507929875087844,0.1718152104591837,0.2917673294926594,0.14679253196832598,0.303896427154541,12.963441610336304,1.2447528839111328,1.1844120025634766,0.06938958168029785,15.765892505645752
6,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.9039530754089355,36,LIME-100,6.939229378262915,2.6109568731020665,0.877944210229729,0.3303355950391387,6.740660284032892,2.5467449890055254,0.8528214519803665,0.32221157483418594,6.839944828762578,0.8653828305437596,2.2480449744800763,0.28442035351802086,0.0002600985044060577,0.22148038903061223,0.1631074849237318,0.10936713437253423,0.303896427154541,13.199114561080933,0.45322513580322266,0.47406816482543945,0.0721287727355957,14.502433061599731
7,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.903952598571777,100,LIME-500,7.25819210210169,2.1776490523420486,0.9182990363686777,0.2755139291052868,7.011951201889968,2.1074837562853785,0.8871448996892004,0.26663668858744977,7.1350716373655105,0.902721965401279,1.9239465249322203,0.24341574569000843,0.0007521047245623847,0.04157366071428571,0.15217391304347827,0.09899838399251616,0.303896427154541,8.902369260787964,0.8466598987579346,0.8001117706298828,0.06540060043334961,10.918437957763672
8,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,7.903952121734619,200,LIME-1000,7.192387623118463,2.2814894764103846,0.909973530470909,0.28865171324442995,6.80143653806204,2.2078478719002095,0.8605107968113012,0.2793346585151494,6.9969120719042435,0.8852421597708894,1.9121600858545245,0.24192453982098003,0.0010350905813189526,0.041314572704081634,0.1515815847165675,0.10322111673229206,0.303896427154541,15.763299226760864,0.8967833518981934,0.9136724472045898,0.0688631534576416,17.94651460647583
9,ILSVRC2012_val_00004677,gray,1,goldfish,8.563647270202637,0.6596946120262146,7.903952658176422,7.12725305557251,8.331164360046387,0.0,1,LRP,3.9519762992858887,3.9519762992858887,0.5,0.5,3.9519762992858887,3.9519762992858887,0.5,0.5,3.9519762992858887,0.5,3.9519762992858887,0.5,-2.3975045760078206e-09,0.9919483418367347,0.10537094669209919,0.08804980621490431,0.303896427154541,0.0,0.06978201866149902,0.06573128700256348,0.07250308990478516,0.5119128227233887
