,image,image_size,bg_type,inference_time,pred_cls,pred_lbl,object_count,f_S,f_0,delta_f,f_T,f_N,method,aucI_pred,aucD_pred,aucI_r,aucD_r,aucI_adj,aucD_adj,aucI_adj_r,aucD_adj_r,aucI_clip,aucI_clipr,aucD_clip,aucD_clipr,threshold,best_point,max_IoU,auc_IoU,time_load,time_exp,time_aucI,time_aucD,time_auc_IoU,time_total
0,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.6210218667984007,16,BPT-100,0.567848944354233,0.016257283500716323,0.9143783411069019,0.02617827868852457,0.39151664813495174,0.016257283500716323,0.6304393920191023,0.02617827868852457,0.4796827962445924,0.772408866563002,0.016257283500716323,0.02617827868852457,1.6443013373692306e-05,0.1386380269320843,0.3190868316761195,0.1182291933450757,0.36101245880126953,2.5290887355804443,0.36908960342407227,0.42786192893981934,0.4408292770385742,4.12788200378418
1,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.6210218667984008,60,BPT-500,0.3156237681938304,0.026886368458501696,0.5082329384325686,0.04329375485135643,0.24221519033939293,0.026886368458501696,0.39002683043690956,0.04329375485135643,0.27891947926661176,0.44912988443473906,0.026886368458501696,0.04329375485135643,3.493852759235116e-05,0.050124414519906325,0.6645106563460926,0.14743375595551766,0.36101245880126953,8.728989124298096,0.9347379207611084,1.0257437229156494,0.3819599151611328,11.432443141937256
2,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.6210218667984007,104,BPT-1000,0.25186726963747313,0.03736288621830829,0.40556908396147606,0.06016355979690038,0.21418621759911868,0.03736288621830829,0.34489319788903483,0.06016355979690038,0.23302674361829592,0.37523114092525545,0.03736288621830829,0.06016355979690038,3.757112880815746e-05,0.0500365925058548,0.6632382568126391,0.14306839737243787,0.36101245880126953,16.446498155593872,1.335758924484253,1.2674872875213623,0.42142295837402344,19.83217978477478
3,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.6210218667984007,16,AA-100,0.3629671181933801,0.03679048256028174,0.5844675326242713,0.05924184723148379,0.360115433979858,0.03679048256028174,0.5798756102363791,0.05924184723148379,0.36154127608661907,0.5821715714303252,0.03679048256028174,0.05924184723148379,8.17943457649252e-06,0.12528908079625292,0.44909461231550457,0.1583546326657387,0.36101245880126953,1.4473321437835693,0.37126970291137695,0.3878445625305176,0.3876481056213379,2.9551069736480713
4,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.6210218667984011,77,AA-500,0.396692906464919,0.04600586699413471,0.6387744581523654,0.0740809131751062,0.3911014677437602,0.04600586699413471,0.6297708481023931,0.0740809131751062,0.39389718710433963,0.6342726531273792,0.04600586699413471,0.0740809131751062,1.9911692706054057e-05,0.047123829039812645,0.4471790988262022,0.15191492005548915,0.36101245880126953,7.420303106307983,1.1349458694458008,1.1411073207855225,0.3769190311431885,10.434287786483765
5,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.6210218667984008,129,AA-1000,0.3499877971991791,0.04773025080099247,0.5635675906284859,0.0768576009200122,0.34941740380709135,0.04773025080099247,0.5626491150923051,0.0768576009200122,0.34970260050313523,0.5631083528603954,0.04773025080099247,0.0768576009200122,1.9091188150574118e-05,0.03922350702576113,0.3959326030358108,0.150956069928203,0.36101245880126953,15.360043048858643,1.4487924575805664,1.4209818840026855,0.39281153678894043,18.983641386032104
6,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.4098578095436096,196,LIME-100,0.1579338123400279,0.10075370765997824,0.2543128040792437,0.1622385829655261,0.1579338123400279,0.10048728375761078,0.2543128040792437,0.16180957407451718,0.1579338123400279,0.2543128040792437,0.10062049570879451,0.16202407852002165,1.0456120399947803e-05,0.2674656030444965,0.06854425835912765,0.049883184782730496,0.36101245880126953,13.74795389175415,1.5859184265136719,1.5550024509429932,0.3879368305206299,17.637824058532715
7,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.40985772013664246,196,LIME-500,0.15759726830472431,0.15286419211169244,0.25377088429622774,0.246149451869971,0.151763523751499,0.15219696896866097,0.2443771014600444,0.245075056299214,0.15468039602811168,0.24907399287813606,0.1525305805401767,0.24561225408459247,-4.4813417772261e-06,0.7566415398126464,0.08559061782130335,0.050865792280361276,0.36101245880126953,23.122207403182983,1.6373870372772217,1.5901963710784912,0.389617919921875,27.10042119026184
8,397133,"(427, 640, 3)",gray,47.43695259094238,69,oven,2,0.6210218667984009,0.0,0.6210218667984009,0.4098578095436096,196,LIME-1000,0.14115015928392502,0.14183146515185022,0.22728693920490545,0.22838401147296833,0.14115015928392502,0.14126657819270705,0.22728693920490545,0.22747440266634877,0.14115015928392502,0.22728693920490545,0.14154902167227865,0.22792920706965858,-8.885661497644631e-07,0.5974751170960187,0.085710514791018,0.05502144375832476,0.36101245880126953,37.28731322288513,1.5153295993804932,1.5613019466400146,0.3887331485748291,41.11369037628174
9,37777,"(230, 352, 3)",gray,17.150402069091797,72,refrigerator,1,0.8730493187904358,0.0,0.8730493187904358,0.8730493187904358,16,BPT-100,0.3719569580156444,0.05493616464514684,0.4260434662854687,0.06292446882755492,0.3717304660204297,0.05493616464514684,0.4257840399388237,0.06292446882755492,0.37184371201803706,0.4259137531121462,0.05493616464514684,0.06292446882755492,3.0558962803087075e-05,0.15174160079051383,0.5271871322087093,0.1931613388793751,0.08293437957763672,1.6257176399230957,0.24640488624572754,0.27573227882385254,0.11061787605285645,2.341407060623169
