,image,bg_type,pred_cls,pred_lbl,f_S,f_0,delta_f,f_G,f_B,f_T,f_N,method,aucI_pred,aucD_pred,aucI_r,aucD_r,aucI_adj,aucD_adj,aucI_adj_r,aucD_adj_r,aucI_clip,aucI_clipr,aucD_clip,aucD_clipr,threshold,best_point,max_IoU,au_IoU,time_load,time_exp,time_aucI,time_aucD,time_auc_IoU,time_total
0,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,7.596925258636475,11,BPT-100,5.649314986926751,1.085765258649635,0.8170163413142661,0.1570257571810525,5.67074745366996,1.1044680256995238,0.8201159515943169,0.1597305928367785,5.660031219830318,0.818566146395787,0.843681684039457,0.12201509953919577,0.0002390129781849301,0.13530373086734693,0.3323766420134673,0.18932226339413374,0.10987448692321777,0.15456843376159668,0.026611328125,0.029254913330078125,0.09490418434143066,0.41521334648132324
1,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,7.596925258636474,20,BPT-500,6.101384031171767,0.980439709048072,0.882395567305547,0.14179334237108804,6.1125762388870415,0.9839554813266398,0.8840142089682892,0.14230180147840618,6.106980135029405,0.8832048881063665,0.5572309027840526,0.08058795678069294,0.0003960453593298974,0.1513671875,0.3872010342598578,0.21644766992002604,0.10987448692321777,0.21561312675476074,0.03571891784667969,0.033832550048828125,0.11628317832946777,0.5113222599029541
2,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,7.596925258636472,26,BPT-1000,6.210382128263852,0.9295317907063337,0.8981590967625231,0.1344309281931434,6.221574335979127,0.932586399576394,0.8997777384252653,0.13487269205657237,6.215978232121489,0.8989684175633427,0.47704734189236275,0.06899163382287062,0.0003436975647083255,0.14985251913265307,0.41639924753789975,0.22629365359110087,0.10987448692321777,0.33307409286499023,0.02724623680114746,0.032595157623291016,0.08178162574768066,0.5845715999603271
3,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,7.596925258636474,10,AA-100,5.806457906961441,1.2124428786337376,0.8397426874144003,0.17534615518525243,5.827781578525901,1.2576024197041988,0.8428265633992851,0.18187722750008106,5.817119742743671,0.8412846254650503,0.8416774570941925,0.12172524677589536,0.0002371171489601051,0.1913464604591837,0.26612217117577,0.18786766293780777,0.10987448692321777,0.01764822006225586,0.03072381019592285,0.020889759063720703,0.09145879745483398,0.27059507369995117
4,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,7.596925258636472,20,AA-500,5.98004444129765,1.1114328210242093,0.8648471572669223,0.16073785501066595,5.99070627707988,1.1132738627493382,0.8663890953175724,0.1610041101812385,5.985375359188765,0.8656181262922473,0.6827199077233672,0.0987364531174535,0.0003526732270823797,0.15188536352040816,0.2927855711422846,0.19934808143046462,0.10987448692321777,0.05585336685180664,0.025048255920410156,0.026235580444335938,0.11573576927185059,0.3327474594116211
5,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,7.596925258636473,25,AA-1000,6.182453614659607,0.9798424150794744,0.8941200257977471,0.14170696058135945,6.193115450441837,0.9825533479452133,0.8956619638483971,0.14209902030415833,6.187784532550722,0.8948909948230721,0.5157280955463648,0.07458572891482618,0.0005688633379821526,0.13277264030612246,0.4032428621783574,0.21934025983028885,0.10987448692321777,0.091949462890625,0.04088187217712402,0.04472851753234863,0.12290453910827637,0.4103388786315918
6,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,6.914567470550537,36,LIME-100,5.994651089898165,1.1092006668899257,0.8669595975877704,0.16041503793998607,6.007067233385824,1.1133594926344512,0.8687552473162142,0.16101649530864215,6.000859161370853,0.8678574224858849,0.6754677937465854,0.09768763608245741,0.0002480387263274067,0.19812260841836735,0.3370223978919631,0.20105534646550605,0.10987448692321777,11.221697568893433,0.027254343032836914,0.027031421661376953,0.12275910377502441,11.508616924285889
7,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,6.914567470550537,100,LIME-500,6.342673448673499,0.8907492298826489,0.9172913654915553,0.12882210896513785,6.348348121883407,0.8912143397800698,0.9181120491762436,0.12888937422234897,6.343595173406507,0.9174246673539194,0.38883165398800307,0.056233688126992226,0.00031425846315935775,0.10465162627551021,0.5700655933214073,0.24731411909993709,0.10987448692321777,5.512170314788818,0.03423881530761719,0.05326032638549805,0.07822918891906738,5.787773132324219
8,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,6.9145684242248535,200,LIME-1000,6.358620648000305,0.8773135699427388,0.9195976815275831,0.12687901555170114,6.364295321210213,0.877349786481188,0.9204183652122714,0.12688425268594744,6.359542372733314,0.9197309833899472,0.37366828159666726,0.05404072843101655,0.00034768473630786463,0.08880739795918367,0.572005166289958,0.24983393571268994,0.10987448692321777,9.498605251312256,0.03289341926574707,0.03383278846740723,0.07291865348815918,9.748124599456787
9,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,6.914567947387695,50158,LRP,2.2313279789434133,4.546735545732581,0.3226995544988424,0.6575588773660513,2.2315465674761743,4.546907967843273,0.32273116738683805,0.657583813416917,1.971906714973501,0.28518148167715335,4.533414397357218,0.6556323436364819,-3.037168363744224e-09,0.9998804209183674,0.10526210882997808,0.04532651991157536,0.10987448692321777,0.31284427642822266,0.060095787048339844,0.05509638786315918,0.08023452758789062,0.6181454658508301
10,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,6.914568901062012,37401,GradCAM,3.8690977806925693,2.7488385007719085,0.5595574116360993,0.3975430587262999,3.869484976681225,2.749234009716464,0.5596134087689428,0.3976002578837676,3.797252874986545,0.5491670438131855,2.6282149501274366,0.38009821613202943,0.0001757497403418043,0.32399952168367346,0.13268472258743097,0.09904072808670228,0.10987448692321777,0.15890169143676758,0.03843998908996582,0.04218244552612305,0.08768630027770996,0.4370849132537842
11,ILSVRC2012_val_00004677,gray,1,goldfish,7.596925258636475,0.6823574900627136,6.914567768573761,0.0,7.596925258636475,6.914567947387695,50144,ShapGradE,2.5882096644882973,3.9018365286827588,0.3743125652214094,0.5642921661163903,2.588359447319075,3.90198485288598,0.3743342269320757,0.5643136171590356,2.4839020311322817,0.3592273660838795,3.8773659882171327,0.5607531829577824,4.5750070810411324e-08,0.9995216836734694,0.1052558120987359,0.06543440660472921,0.10987448692321777,0.392240047454834,0.08516788482666016,0.07566523551940918,0.08933091163635254,0.7522785663604736
12,ILSVRC2012_val_00006007,gray,1,goldfish,6.846900939941406,0.6823574900627136,6.164543449878693,0.0,6.846900939941406,6.846900939941406,10,BPT-100,5.726741371628809,0.8323009716749562,0.928980569414734,0.1350142044814545,5.738554441457976,0.8328762085768584,0.9308968621985607,0.13510752170307624,5.73258435739114,0.929928406963139,0.29422403840474043,0.04772843862472155,0.0005090430947979154,0.12185108418367346,0.7447161835748792,0.2796155943006974,0.1283397674560547,0.19749903678894043,0.0205686092376709,0.020019054412841797,0.06716179847717285,0.43358826637268066
